OBJECTID,DATASET_E,DATASET_C,ADDRESS_E,ADDRESS_C,SEARCH1_E,SEARCH1_C,SEARCH2_E,SEARCH2_C,NSEARCH1_E,NSEARCH1_C,NSEARCH2_E,NSEARCH2_C,NSEARCH3_E,NSEARCH3_C,NSEARCH4_E,NSEARCH4_C,NSEARCH5_E,NSEARCH5_C,LATITUDE,LONGITUDE,GeometryLongitude,GeometryLatitude
1,Building information and age records,樓宇資料及樓齡紀錄,CHEUNG SHA DD 332 LOT 710 LANTAU ISLAND,大嶼山 長沙丈量約份第332約第710號地段,Islands,離島區,New Territories,新界,5216949,5216949,NT47/84,NT47/84,1984-05-03,1984-05-03,Tower,座,Residential/Composite,住宅/綜合用途,22.23623065,113.961824,113.96182400017756,22.236230649824677
2,Building information and age records,樓宇資料及樓齡紀錄,CHEUNG SHA DD 332 LOT 710 LANTAU ISLAND,大嶼山 長沙丈量約份第332約第710號地段,Islands,離島區,New Territories,新界,5216950,5216950,NT47/84,NT47/84,1984-05-03,1984-05-03,Tower,座,Residential/Composite,住宅/綜合用途,22.23613071,113.9617702,113.96177020003472,22.236130709964357
3,Building information and age records,樓宇資料及樓齡紀錄,DISCOVERY BAY NORTH DEVELOPMENT DISCOVERY BAY STT CX1333 LANTAU ISLAND,大嶼山愉景灣第CX1333號短期租約,Islands,離島區,New Territories,新界,5240508,5240508,HD19/2000(OP),HD19/2000(OP),2000-04-14,2000-04-14,Tower,座,Others,其他,22.31056115,113.9991111,113.99911109999732,22.310561150276897
4,Building information and age records,樓宇資料及樓齡紀錄,BLK A TUI MIN HOI CLP S4413 SAI KUNG,對面海第S4413號官地租用許可證 A,Sai Kung,西貢,New Territories,新界,5250757,5250757,NT53/66,NT53/66,1966-06-03,1966-06-03,Tower,座,Residential/Composite,住宅/綜合用途,22.37611232,114.2727359,114.27273590024163,22.376112319627907
5,Building information and age records,樓宇資料及樓齡紀錄,PHASES 8 OF A COMMERCIAL DEVELOPMENT DISCOVERY BAY N DD 352 LOT 385 RP AND THE EXTENSION THERETO LANTAU ISLAND,大嶼山 愉景灣北 丈量約份第352約第385號地段餘段及增批地段,Islands,離島區,New Territories,新界,5426243,5426243,NT52/2009(OP),NT52/2009(OP),2009-09-01,2009-09-01,Tower,座,Office/Commercial,寫字樓/商業,22.30811532,114.0172109,114.01721089956345,22.308115319866147
6,Building information and age records,樓宇資料及樓齡紀錄,PHASES 9 OF A COMMERCIAL DEVELOPMENT DISCOVERY BAY N DD 352 LOT 385 RP AND THE EXTENSION THERETO LANTAU ISLAND,大嶼山 愉景灣北丈量約份第352約第385號地段餘段及增批地段,Islands,離島區,New Territories,新界,5426244,5426244,NT52/2009(OP),NT52/2009(OP),2009-09-01,2009-09-01,Tower,座,Office/Commercial,寫字樓/商業,22.30785889,114.01674,114.016740000151,22.307858889875945
7,Building information and age records,樓宇資料及樓齡紀錄,CARPARK PAK KONG DD 217 LOT 1199 SAI KUNG,西頁北港丈量約份第217約第1199號地段,Sai Kung,西貢,New Territories,新界,6020808,6020808,NT90/2014(OP),NT90/2014(OP),2014-12-24,2014-12-24,Tower,座,Others,其他,22.37502218,114.2583824,114.25838240022767,22.37502218032938
8,Building information and age records,樓宇資料及樓齡紀錄,CHEK LAP KOK CLKL 1 RP AND THE EXTENSION THERETO LANTAU ISLAND,大嶼山 赤鱲角第1號赤鱲角地段餘段及增批地段,Islands,離島區,New Territories,新界,6036552,6036552,NT49/2015(OP),NT49/2015(OP),2015-08-13,2015-08-13,Tower,座,Others,其他,22.31097679,113.921183,113.92118300019536,22.31097678994695
9,Building information and age records,樓宇資料及樓齡紀錄,RIVERWALK BLOCK 7 DD 4 MW 726 MUI WO,梅窩丈量約份第4約第726號梅窩銀河灣畔7座,Islands,離島區,New Territories,新界,6047248,6047248,NT72/2015(OP),NT72/2015(OP),2015-11-09,2015-11-09,Tower,座,Residential/Composite,住宅/綜合用途,22.26566626,113.9970889,113.99708889973294,22.265666259890054
10,Building information and age records,樓宇資料及樓齡紀錄,BLK A1MUI WODD 2 MW 667 & DD 2 MW 739,大嶼山 梅窩丈量約份第2約A1座,Islands,離島區,New Territories,新界,6073684,6073684,NT45/2017(OP),NT45/2017(OP),2017-07-05,2017-07-05,Tower,座,Residential/Composite,住宅/綜合用途,22.27283684,114.002787,114.00278699972034,22.272836839648505
